name,fold,majority,minority,selected_oversampled,not_selected_oversampled,clusters_count,selected_clusters
abalone_19_vs_10_11_12_13,2.0,1270.8,25.6,770.2,476.2,17.2,9.2
abalone_20_vs_8_9_10,2.0,1512.0,19.2,801.4,689.8,16.8,8.4
abalone_3_vs_11,2.0,388.4,12.0,166.0,211.6,28.4,12.8
abalone_9_vs_18,2.0,549.6,33.6,223.4,294.2,20.2,9.8
ecoli_0_2_3_4_vs_5,2.0,145.6,14.8,69.2,60.4,20.4,10.2
ecoli_0_3_4_vs_5,2.0,144.0,16.0,54.6,73.4,22.6,9.8
ecoli_0_4_6_vs_5,2.0,146.4,15.2,76.8,53.6,21.8,11.2
ecoli_0_vs_1,2.0,61.6,114.4,28.4,24.4,27.0,13.6
glass_0_1_6_vs_5,2.0,140.0,6.8,74.6,58.2,24.4,13.2
glass_2,2.0,157.2,13.6,72.4,71.6,25.6,9.8
glass_4,2.0,160.4,10.4,68.2,82.2,25.0,11.4
glass_5,2.0,163.6,7.2,103.2,53.6,27.4,16.6
red_3_vs_5,2.0,543.2,8.0,199.8,337.0,30.2,11.4
red_8_vs_6,2.0,508.8,14.4,225.2,270.8,26.6,12.0
white_3_vs_7,2.0,704.0,16.0,328.6,359.4,22.2,10.2
white_9_vs_4,2.0,129.6,4.0,57.8,68.6,21.6,11.8
yeast_3,2.0,1056.6,130.2,645.0,281.4,18.2,8.6
yeast_4,2.0,1146.2,40.6,583.0,522.6,16.8,8.6
yeast_5,2.0,1151.6,35.2,597.8,519.0,18.6,8.4
yeast_6,2.0,1158.8,28.0,773.0,358.2,17.6,10.2
